huisnummer;postcode;woonplaats;lat;lon
42;7414WB;Deventer;52.2731092849785;6.13940857015947
247;8266GH;Kampen;52.5440797753638;5.923496180553241
57;7415LP;Deventer;52.26830188544821;6.158733046213349
11;8043BA;Zwolle;52.5366618267453;6.06467530589939
2;8265XC;Kampen;52.5461542677248;5.912992683050231
41;7416WE;Deventer;52.258245021242104;6.17652131834454
110;8262GG;Kampen;52.5583263478611;5.90246930867655
1;7415LK;Deventer;52.2680989548277;6.16326664860906
8;7413RL;Deventer;52.2637754155254;6.15223287441983
13;8024CL;Zwolle;52.521995085004995;6.14148453237463
81;8043LT;Zwolle;52.53316467640221;6.05530639733983
692;8031MV;Zwolle;52.523806531519796;6.0912579638725495
19;7412TL;Deventer;52.262793033170794;6.137436571278861
3;8011AX;Zwolle;52.5122589162212;6.08263770944475
19;8265CH;Kampen;52.5509547478672;5.9064422605059805
8;8262CA;Kampen;52.562497274654596;5.89923317590907
7;7423GS;Deventer;52.2522663900712;6.20257506034961
1;8262WK;Kampen;52.5622110793664;5.89815755800433
1;8265NM;Kampen;52.5368355993888;5.91708533982481
2;7411RW;Deventer;52.2560560582476;6.1520122361675
41;7422LE;Deventer;52.2461392611271;6.218267618637491
36;8014PA;Zwolle;52.4780479939011;6.1152256571288595
6;8042GD;Zwolle;52.5224835226207;6.044447379460701
9;8043AJ;Zwolle;52.535107444250606;6.06784563197487
302;8031MJ;Zwolle;52.52330818626061;6.08819285889879
4;7412NK;Deventer;52.2703482719139;6.13640570972208
54;8023WS;Zwolle;52.5099016991768;6.114456798457559
12;7424AD;Deventer;52.26355053175071;6.21876380160039
6;8262DZ;Kampen;52.5619289343666;5.90870328441131
78;8266BN;Kampen;52.5486351006586;5.91616385153763
1;8267AL;Kampen;52.6074451137549;5.84706709403148
19;8024ZH;Zwolle;52.5248407480907;6.13310755557979
10;8262RM;Kampen;52.563101287691204;5.904631707093741
9;7415CR;Deventer;52.262641368954895;6.17084965486658
28;8012TC;Zwolle;52.5076650298238;6.097650002569099
1;8043EJ;Zwolle;52.5379637787253;6.0612411574799
100;8264BK;Kampen;52.556078499171804;5.890801418136281
14;8011HG;Zwolle;52.5075656512889;6.09466158005139
10;7417TE;Deventer;52.2560376885333;6.186020603168029
44;7412MH;Deventer;52.2691653732973;6.140092372470571
110;7412BG;Deventer;52.26062606084621;6.1513877243493305
72;8265WJ;Kampen;52.54644487266;5.91608536363914
3;8021AA;Zwolle;52.51258932880079;6.104306081410639
6;7412XT;Deventer;52.26161748359771;6.14538439168957
25;7421AZ;Deventer;52.2438076369835;6.21760899321651
10;8021DL;Zwolle;52.5176389012584;6.0918838553672
9;7417AB;Deventer;52.254978760060396;6.172366203220349
102;8265HC;Kampen;52.5506944928215;5.89834564698869
10;8265EJ;Kampen;52.5538600640715;5.9024825496111
7;7416WH;Deventer;52.2590734592556;6.172951137324651
142;8015CR;Zwolle;52.4745393707216;6.122726250578769
735;8031TH;Zwolle;52.530374049691;6.08073569746338
16;8014EP;Zwolle;52.490550325435294;6.11344103082657
142;8261VK;Kampen;52.5576053182781;5.91336083448208
21;8011AH;Zwolle;52.510735508288896;6.0836062142688
80;7415TW;Deventer;52.26682258875589;6.16187814551428
28;8013SW;Zwolle;52.5000089588332;6.1162329380614695
53;7425RH;Deventer;52.264770117828206;6.23071663404356
36;7415TL;Deventer;52.266405177478894;6.162459645305719
63;8031HA;Zwolle;52.5265049471301;6.07834829543333
2;7412ND;Deventer;52.2689991902592;6.13937168359391
2;8262DW;Kampen;52.5616350469476;5.908122242137481
21;7412XP;Deventer;52.2629811240201;6.1471801116517995
1;7412TA;Deventer;52.26280165305389;6.14011647860373
20;8265XX;Kampen;52.5466203493554;5.90748854217494
742;8031MZ;Zwolle;52.5236297492587;6.0921064217768
2;8264BW;Kampen;52.5561885441475;5.890330125628231
44;8014PH;Zwolle;52.478697171187896;6.11357647356925
77;8025CC;Zwolle;52.505643753762705;6.12245677510172
171;7422LT;Deventer;52.247791833720896;6.214786805757821
23;8261CC;Kampen;52.555915776054604;5.9195893505212
3;7419CH;Deventer;52.2501447947455;6.141776752815289
14;8017LZ;Zwolle;52.493113706501894;6.09867125416219
10;8265NB;Kampen;52.5366128321253;5.91950780458346
95;7423GD;Deventer;52.2508205987849;6.203985040276491
1;7415ZS;Deventer;52.271008917379795;6.160040079525929
9;8015PG;Zwolle;52.4616499643136;6.1478880624763095
42;8264BH;Kampen;52.556437265910596;5.894256576582509
72;8014RN;Zwolle;52.4813451285265;6.11544436521608
39;8261HL;Kampen;52.5550612339483;5.917587121889781
18;8262VG;Kampen;52.5589216675937;5.90512530312201
49;7414XJ;Deventer;52.27694024761539;6.14006285562467
68;8043TS;Zwolle;52.537282426975004;6.036387670801611
8;7425EE;Deventer;52.2573159599014;6.22720097746393
28;8021BA;Zwolle;52.5161605934599;6.10473461583969
38;8262CJ;Kampen;52.5617342463047;5.90127124890642
12;8011XA;Zwolle;52.515028208631804;6.0980194896881
15;8265MP;Kampen;52.5465356060534;5.89482946521571
115;8017KC;Zwolle;52.5025958285034;6.0880468711577205
19;8266DJ;Kampen;52.5500273818528;5.921753575286191
7;8265ZZ;Kampen;52.5483991342382;5.908012705099489
63;8043EG;Zwolle;52.538238412945205;6.06153488599343
43;7425GS;Deventer;52.258701751272795;6.221806462521
16;8265EZ;Kampen;52.554027142558496;5.903941067837289
19;8044PR;Zwolle;52.54408598780021;6.041635928471191
3;8042HH;Zwolle;52.519632348134;6.04364961110209
229;7414GK;Deventer;52.27774713849279;6.151579442908031
4;7411SK;Deventer;52.2533735538786;6.15124849522422
119;8266GD;Kampen;52.5436818615413;5.9206223181956394
10;7422NX;Deventer;52.24838207296099;6.21246141812096
159;7411CV;Deventer;52.2511351860223;6.16703766667337
7;7416BH;Deventer;52.2573753975523;6.17048358875172
2;7411RR;Deventer;52.2557782828484;6.15278606590312
56;7425PP;Deventer;52.2625213250418;6.23487479981354
7;8262AP;Kampen;52.564026689429;5.898870145424549
89;7415AT;Deventer;52.266303127012996;6.16020181903376
16;7424GX;Deventer;52.265129356989;6.22094828805885
13;8022AZ;Zwolle;52.5221193895869;6.11297579542964
21;7423EK;Deventer;52.2545292476256;6.213234778628419
77;8262GV;Kampen;52.557539655435;5.905612804579099
16;8024XE;Zwolle;52.521224810056;6.13968594374992
30;8265GM;Kampen;52.5542624033628;5.89325477550185
27;7422LN;Deventer;52.2476656404849;6.2178811716349
31;8012CT;Zwolle;52.501939428141796;6.10459286409121
191;7415KE;Deventer;52.268927426169704;6.1670745832453004
69;8266GC;Kampen;52.5442644357813;5.91960133209028
404;7412HM;Deventer;52.26302206478729;6.134433499861139
42;8262EL;Kampen;52.5614901075456;5.90951494615705
26;8026RA;Zwolle;52.5085889222875;6.153600398090759
19;7414BW;Deventer;52.273579269685605;6.14763551782843
28;7412WG;Deventer;52.259865275320905;6.14479535469545
7;7419AX;Deventer;52.247741100367605;6.14378608143971
18;7422NP;Deventer;52.2455167927365;6.21097939538116
6;7411ZB;Deventer;52.247936012488395;6.163703358431821
182;7412AS;Deventer;52.2670459041965;6.14431268687418
132;8265RC;Kampen;52.54014793910729;5.908805435807
35;7412MB;Deventer;52.26769216087789;6.13934348110976
11;7419AL;Deventer;52.246997235603104;6.14204552667526
18;8043ME;Zwolle;52.53907470254371;6.051391140291309
35;8262BM;Kampen;52.5637494810864;5.905898357999259
55;7425RH;Deventer;52.264838181108395;6.23063791060765
7;7412TJ;Deventer;52.2620815755464;6.13745295840087
11;8267AA;Kampen;52.5609246306623;5.9199670534724005
96;8261HT;Kampen;52.557814838981;5.918117915183821
2;8265DC;Kampen;52.5489446963722;5.90614158386592
15;7412CL;Deventer;52.2586786505168;6.14674042169329
15;7424GR;Deventer;52.266451017753496;6.22007343725649
241;7415KH;Deventer;52.2694285741136;6.16740568789197
371;8032HK;Zwolle;52.532886582170704;6.1014766423890805
19;8266LE;Kampen;52.5314984940627;5.93020662802063
3;8261ED;Kampen;52.56186824886289;5.91127894322594
13;8261VS;Kampen;52.55909739399279;5.911453338489849
90;7419CG;Deventer;52.249403326900705;6.13965543271698
37;7412ML;Deventer;52.2692813335655;6.138819733171981
15;8264CH;Kampen;52.5581798744276;5.8922615388446
18;8266KD;Kampen;52.5367655770848;5.927509507390571
20;8012DR;Zwolle;52.5068974566047;6.1022059616652795
61;8265XK;Kampen;52.54652340454221;5.9065936022072005
14;8043KM;Zwolle;52.53744361276979;6.055546215756481
177;8265HW;Kampen;52.5518096208257;5.8932242215943
3;8262CL;Kampen;52.562301098183404;5.901432709179259
57;8011AV;Zwolle;52.5131074444462;6.08350450767004
55;8043PG;Zwolle;52.548243827605894;6.07896670526235
248;8261CB;Kampen;52.5621364127075;5.91217804367209
63;8261AH;Kampen;52.560908340865204;5.91498336198683
13;8264PB;Kampen;52.5573246462356;5.89577623203096
12;8261KG;Kampen;52.5539818057316;5.91809947965878
3;8264BD;Kampen;52.5562806302965;5.895438297194951
131;7411JZ;Deventer;52.2512411827612;6.15872764642586
15;7417BL;Deventer;52.2533416416753;6.170488737115151
78;8265RP;Kampen;52.5437331928218;5.903053152665059
24;7415BJ;Deventer;52.265794312301296;6.156911490025281
8;8024DJ;Zwolle;52.52601411390471;6.136668547532071
29;8261JV;Kampen;52.5536054276221;5.9226813548522195
35;7417ZR;Deventer;52.2534059760975;6.17167417219484
5;8014PD;Zwolle;52.4782710995444;6.11496440577966
68;8017DJ;Zwolle;52.4983287421435;6.08985725018665
43;8024ZJ;Zwolle;52.52409585302421;6.13293924536155
49;8023TE;Zwolle;52.5123879679127;6.107859307275901
1;8262BE;Kampen;52.5638301833126;5.90799279868376
64;7412HD;Deventer;52.26393970408811;6.132152126554519
68;8014LC;Zwolle;52.483665785008604;6.122088087203309
12;7413VJ;Deventer;52.260159402541895;6.16403131762474
31;7413TB;Deventer;52.2611735722318;6.15569782999595
10;8262VL;Kampen;52.560173140489596;5.903846588831541
103;7415LH;Deventer;52.268300585778704;6.16262454267176
9;7423CM;Deventer;52.2557943243651;6.20451444594123
7;8031PN;Zwolle;52.5236149802458;6.0778020220838895
17;8265GV;Kampen;52.553006704739296;5.89577595262722
14;8043NB;Zwolle;52.5396423890287;6.0554058312175
190;7415DE;Deventer;52.27063042811271;6.16643050195476
51;8032PA;Zwolle;52.5322813135367;6.095054187084
2;7417XW;Deventer;52.255797860057605;6.177580068319
6;8267AH;Kampen;52.5844187425912;5.890227748827731
532;8265AV;Kampen;52.5480527516032;5.914688451798719
41;7417AE;Deventer;52.2550280762825;6.17844514963843
41;8263AC;Kampen;52.5668293732051;5.88909051958143
92;8043TC;Zwolle;52.5340160385887;6.04259100906314
70;7411GW;Deventer;52.2535889689571;6.16370144090575
7;8261LG;Kampen;52.553043459717905;5.92265054069547
16;7422SV;Deventer;52.2487051694316;6.205387403691831
29;7415NH;Deventer;52.27814187038221;6.17034479073456
25;8022BN;Zwolle;52.522670124979896;6.10771206635592
73;8032HT;Zwolle;52.531774599589006;6.10220866762488
106;8264BC;Kampen;52.555833878966894;5.89409307035167
20;8017LV;Zwolle;52.4924453277973;6.09999770829121
13;7416ZT;Deventer;52.259101003471606;6.182267313338519
52;7411JD;Deventer;52.252182638901395;6.159157665151451
176;8012CE;Zwolle;52.50351424603151;6.10489629473228
91;8265XL;Kampen;52.5463209425575;5.9070683943294
518;8265AV;Kampen;52.5483251037836;5.91433286712241
26;7412XW;Deventer;52.261054987258994;6.1419911375473895
7;8262WL;Kampen;52.562017990561294;5.897101170518289
1;8011PK;Zwolle;52.511572633125105;6.0914095633534595
57;8265MH;Kampen;52.5454645886124;5.89686948010589
76;8022EJ;Zwolle;52.5226544221839;6.103368161318611
193;8031EK;Zwolle;52.524667955420504;6.077241071156
5;8265SH;Kampen;52.5414899346441;5.90379789485561
132;8042AL;Zwolle;52.525636429068605;6.04640896227175
2;7425AH;Deventer;52.2546839905555;6.22190803624527
245;7415JW;Deventer;52.2686772963736;6.1654293464194705
504;7423BS;Deventer;52.2513918773859;6.21201958641803
152;7415TN;Deventer;52.26760405859079;6.164408629754031
5;8017BG;Zwolle;52.4990641739505;6.096982735141999
205;8031CA;Zwolle;52.5278502635392;6.08086040021515
121;7412WR;Deventer;52.26222582001449;6.1422881676774095
11;7413CC;Deventer;52.2605061429862;6.15562307842233
85;8264PA;Kampen;52.550517608832706;5.8574671080283
3;8011RM;Zwolle;52.512921542807895;6.09787707375083
75;7422NJ;Deventer;52.2471264554136;6.20616076014963
9;8024BR;Zwolle;52.5265469980394;6.133543637065309
25;8023WB;Zwolle;52.5106597329114;6.11139289164783
3;8043GD;Zwolle;52.52650202086821;6.065408793976481
71;7423ER;Deventer;52.2555108502799;6.21424894636992
13;8265TA;Kampen;52.5384438104469;5.90808331109595
7;7423EN;Deventer;52.254052014349796;6.21335772867983
20;8264DB;Kampen;52.557383421748106;5.89404765613084
44;7424AV;Deventer;52.2624363915833;6.216150191091571
8;8262BH;Kampen;52.56374467929971;5.90190202086074
20;7415EV;Deventer;52.26540907221621;6.17039688871596
4;7415NN;Deventer;52.276809618836495;6.16801288241287
14;8017MK;Zwolle;52.4902815246337;6.09727043658548
5;8011LA;Zwolle;52.51090011129929;6.08860185832992
10;8266CT;Kampen;52.5486629533091;5.921948775108469
23;7412CA;Deventer;52.2582608301204;6.14321801083794
5;8265GJ;Kampen;52.5546766376406;5.90463096176667
137;8261CK;Kampen;52.5593906888563;5.91648704248759
44;7424BD;Deventer;52.2609191788425;6.21461317341621
1;7412JX;Deventer;52.2613980839926;6.1389757345321705
16;7414WG;Deventer;52.275432057601996;6.138366915701259
37;7411BP;Deventer;52.252989965808794;6.163003580424871
11;8261XC;Kampen;52.5523582778425;5.92017923463907
20;8262AN;Kampen;52.5637638827066;5.89676402190305
3;8262PM;Kampen;52.5640448196059;5.904717408971179
7;8016KN;Zwolle;52.4817736238354;6.09621967958714
35;8262PA;Kampen;52.564576854845704;5.9072933173205
65;8262DC;Kampen;52.5616159123479;5.905955453797411
8;7416XX;Deventer;52.258830728720596;6.17565658449584
26;7417TE;Deventer;52.2561811843058;6.18606711907415
15;8262PA;Kampen;52.564125477633;5.907144815882719
2;8015RD;Zwolle;52.4461279227865;6.13154625218622
13;8261KR;Kampen;52.5531349380573;5.91872898862087
126;8265AG;Kampen;52.551337609168996;5.91020618627761
175;8264AG;Kampen;52.558484678466606;5.88940286577332
18;8011AK;Zwolle;52.511468115824606;6.0857469616607
126;8043NL;Zwolle;52.541932550818004;6.05554440397089
227;8031AR;Zwolle;52.5222907354395;6.0866039462035095
129;7414HD;Deventer;52.27564392205029;6.14526320124805
78;8264BC;Kampen;52.5557933704295;5.8952181495091
17;8011GM;Zwolle;52.5053359979821;6.09443230669446
26;8042MJ;Zwolle;52.5160178323566;6.0476315004735195
75;8264DH;Kampen;52.5597228816498;5.89254340423002
470;7415JK;Deventer;52.271976487234;6.17197093808995
13;8264PC;Kampen;52.55766211823179;5.8984690903744506
3;8024BR;Zwolle;52.5268791073493;6.13340370619947
76;8014EN;Zwolle;52.4907582614328;6.11737627352762
171;8031DL;Zwolle;52.5230148652049;6.089547134311429
9;8265GP;Kampen;52.5531321680608;5.8943668968837795
326;8031MK;Zwolle;52.5231644677774;6.08818496224155
390;8031BZ;Zwolle;52.526895123683396;6.08118251550614
61;8262CE;Kampen;52.562569912578105;5.89630351286842
78;7413TS;Deventer;52.262919042327496;6.15400526425861
10;8266AL;Kampen;52.5503363962959;5.923291406777611
1;8264BP;Kampen;52.5564296795061;5.893315675871639
17;8014RV;Zwolle;52.477242866027495;6.11093449691366
66;8031KX;Zwolle;52.5285305179356;6.08647652043611
6;7411PV;Deventer;52.25459245233729;6.1559414367754295
36;8266JH;Kampen;52.537109258452794;5.935754540746241
195;8265HW;Kampen;52.5516484082618;5.8939880569209695
14;8043RE;Zwolle;52.52942374355129;6.05027496356984
10;8266HA;Kampen;52.5508310393532;5.91436307464357
78;7414XD;Deventer;52.27460455345079;6.14128340656108
21;7422LE;Deventer;52.2456608472107;6.21617395215913
538;8043VV;Zwolle;52.5298600427095;6.0536256919852605
18;8024ZD;Zwolle;52.5243219603606;6.13150864172057
44;8266LN;Kampen;52.53351818245051;5.92653674867129
3;7412JD;Deventer;52.2589576112799;6.14107671398457
85;8264PA;Kampen;52.55019623343221;5.85716910582451
47;8031KT;Zwolle;52.52807893119329;6.0853408394065305
34;7413ZH;Deventer;52.25835673651171;6.16459410964612
38;7414CG;Deventer;52.273515064177296;6.1508885882595
13;8017DS;Zwolle;52.497734099064395;6.08701600850196
100;7419AW;Deventer;52.2477250016804;6.143492937398539
26;8261LR;Kampen;52.5526184393083;5.9211361030787995
27;7415LE;Deventer;52.2680742235882;6.16150717706478
73;8043NZ;Zwolle;52.5427686450048;6.0613046468487
6;7411MB;Deventer;52.248743361851;6.1692437426573
37;7412BS;Deventer;52.2575427448638;6.145871514248941
9;8017AE;Zwolle;52.499853494186404;6.09491512070025
43;8013TH;Zwolle;52.50078232837811;6.11030994526109
135;8265KS;Kampen;52.546633417279;5.896892128563549
3;7412WL;Deventer;52.2596386710357;6.14700582172521
25;7412ZH;Deventer;52.261337144250604;6.14284550948938
105;7415ZE;Deventer;52.274015182895695;6.165122831512799
60;7415VL;Deventer;52.2719192784891;6.16310479378559
24;8261KP;Kampen;52.5532625365926;5.91784027945626
16;8265XC;Kampen;52.544700049609794;5.9159646087488
335;7415LX;Deventer;52.268733366724206;6.16125608912799
58;8262BT;Kampen;52.563482538204696;5.906958589622509
59;8262VA;Kampen;52.560053806736796;5.90283798239928
1;8032MN;Zwolle;52.5375090956859;6.0965225956262
17;8265BS;Kampen;52.5489618513881;5.910731377203049
18;7415TP;Deventer;52.264919555964404;6.1642209502433
82;8043XG;Zwolle;52.5252073228636;6.05989005642199
69;7415ZD;Deventer;52.2739334668413;6.16530380668456
20;8262VL;Kampen;52.559273971832894;5.90311139014413
2;8021BN;Zwolle;52.515897299557295;6.10351421296573
31;8042CJ;Zwolle;52.52322109358911;6.05338923238641
159;8016KJ;Zwolle;52.484710069716996;6.0964692261386295
21;8265SH;Kampen;52.54187603352629;5.902425351453299
4;7424AK;Deventer;52.2623952498318;6.22071974367543
21;8011AH;Zwolle;52.510634446157596;6.083815310939291
2;8032EV;Zwolle;52.5315158353141;6.09600540128525
43;7425GG;Deventer;52.2616208692412;6.22514927917637
21;7414VN;Deventer;52.2775745025593;6.14067438370384
20;7417TN;Deventer;52.255655236946;6.1880788482884
22;8261XC;Kampen;52.5527942704702;5.918502388786959
12;7415AV;Deventer;52.2652026700539;6.16146698006232
9;8043VB;Zwolle;52.5304140244976;6.05039884050792
26;8033BL;Zwolle;52.533591195890295;6.113176302926151
6;8043VH;Zwolle;52.52734828986421;6.05411010832421
11;8266LS;Kampen;52.5325078457447;5.924837218151361
38;8261JC;Kampen;52.557524529764;5.9182422668142705
33;8015PH;Zwolle;52.44691918087771;6.13167024039829
1;8022PN;Zwolle;52.515861756895106;6.10835480445987
31;8262GV;Kampen;52.5576515729095;5.9054013355710495
49;8014KG;Zwolle;52.48537212020471;6.12718161477388
1;7425HC;Deventer;52.259876310836404;6.22738115847562
44;8016AL;Zwolle;52.484620471589096;6.1030232797113095
81;8265TV;Kampen;52.5344524176501;5.91736641054405
22;8033BP;Zwolle;52.53486217187199;6.112394608406559
25;7412VB;Deventer;52.259529326821095;6.15280432807002
36;8023VS;Zwolle;52.511582767412605;6.1112210385429595
27;8023DR;Zwolle;52.513987455252;6.11112843635057
28;7413XW;Deventer;52.258844101556996;6.1614050842895995
4;8032XC;Zwolle;52.5333269131063;6.092303276180941
108;8266BW;Kampen;52.547944733346206;5.919864900160481
52;8012AP;Zwolle;52.5039096452134;6.09941520166356
13;8042CJ;Zwolle;52.522755140971604;6.052838951432901
17;8013TM;Zwolle;52.501039503914;6.11241542781325
161;8261VE;Kampen;52.5596185377459;5.91227414288463
56;8266CN;Kampen;52.5490599057279;5.920183421340691
136;8266BX;Kampen;52.5475729542961;5.92073058063486
45;8023BZ;Zwolle;52.5157825974185;6.118538208526009
30;8265KD;Kampen;52.5488286427831;5.89655415884837
8;8267AT;Kampen;52.5947407090876;5.92156021087806
74;8042MK;Zwolle;52.517059672253296;6.045725114098881
29;8016DR;Zwolle;52.4857767964999;6.09751096088387
1;8261HW;Kampen;52.5582948998745;5.917303510250889
70;8021AM;Zwolle;52.51449803454221;6.10456027411335
13;8022NM;Zwolle;52.5183564584968;6.11386757008638
9;7412CC;Deventer;52.2589808311774;6.143069129096861
36;8266LN;Kampen;52.53323806975929;5.92717526234763
58;8043MZ;Zwolle;52.5382769760921;6.050439148365131
36;8043XJ;Zwolle;52.5247780189343;6.05897106371037
93;7412AC;Deventer;52.2608998691567;6.14668911824167
47;8034PX;Zwolle;52.53072835528;6.120639216713919
492;8265AT;Kampen;52.549030394427795;5.91324610343101
1103;8031VH;Zwolle;52.5307431382637;6.08916243347543
91;8031AK;Zwolle;52.5214018177059;6.080792365441151
172;7415JD;Deventer;52.2698067721736;6.17498047181905
2;7411RW;Deventer;52.2559327034052;6.15162931339903
109;7422RE;Deventer;52.2467074150798;6.20777196449642
68;8044PZ;Zwolle;52.543486927777;6.035250807545201
48;8261HD;Kampen;52.5561409277695;5.91701469856538
42;8012BS;Zwolle;52.502797059409;6.106058338609571
27;8022RL;Zwolle;52.520606508120295;6.10934434026013
35;8262AM;Kampen;52.564212941056994;5.89641717369061
28;7411AV;Deventer;52.248760890590894;6.16664786438421
49;8265TM;Kampen;52.5346129806382;5.91847681015563
53;8265RW;Kampen;52.541129325362995;5.9101310096789
173;8022DE;Zwolle;52.5226564251261;6.10461033284564
128;7423CG;Deventer;52.2571814481474;6.209270824404429
46;8265HZ;Kampen;52.5514252054321;5.89406416514708
121;8014VW;Zwolle;52.48293401176289;6.111330763814629
6;8011WZ;Zwolle;52.514959923833295;6.09196450010183
530;8031MP;Zwolle;52.524054473593;6.0941153709409805
348;8022DS;Zwolle;52.52206700068171;6.1058843664766
275;8266GJ;Kampen;52.544952247043;5.9241993003677305
30;7412WK;Deventer;52.2601345150496;6.14537376039716
516;7423AL;Deventer;52.250756514179;6.206089025996291
19;8011JS;Zwolle;52.506746274409295;6.096518919390269
135;8025CC;Zwolle;52.505361674490004;6.12295421343083
92;7412HE;Deventer;52.264509771426795;6.131546416626049
32;8265MA;Kampen;52.5448695652116;5.89973948366487
24;8262PB;Kampen;52.5643233462323;5.90700047861297
27;7412PC;Deventer;52.266558038503895;6.1345545895477995
34;8015PT;Zwolle;52.442328736228895;6.11771015405043
19;8262EA;Kampen;52.5624271508872;5.90893791434038
128;7417VK;Deventer;52.255098675294796;6.18664816562986
237;8031EL;Zwolle;52.524878632269896;6.078705868925789
26;8264DX;Kampen;52.558142808038305;5.8997170305124005
20;8022RT;Zwolle;52.5206279526582;6.1107911182874
265;8266GJ;Kampen;52.544830946959;5.92374965937692
13;8265TG;Kampen;52.536943917026704;5.910624382355599
36;8016NA;Zwolle;52.475131040291394;6.10305606763674
117;8012XL;Zwolle;52.5015679446078;6.1094460045181505
86;8031EW;Zwolle;52.52407251610929;6.08369167803528
347;8265XT;Kampen;52.544664267177495;5.91025930936664
14;8042AR;Zwolle;52.5225036671807;6.046898016880459
299;7415LX;Deventer;52.268706648664896;6.161280236794259
211;8265GH;Kampen;52.556014959428204;5.903922562810741
8;8261JX;Kampen;52.5554342355885;5.92098920459528
2;8261HS;Kampen;52.555527924732196;5.92110004411895
23;8012BE;Zwolle;52.503857794786605;6.10316314362624
54;7425CA;Deventer;52.255790566277106;6.22447020994086
118;7417TK;Deventer;52.2560464953127;6.18870103786746
49;8261CE;Kampen;52.556635681811294;5.91866316688746
10;8266CD;Kampen;52.54962991279589;5.918174658713941
297;8266GJ;Kampen;52.545326013816;5.92416185168643
175;7422NL;Deventer;52.2475719959875;6.212454798913809
68;8031EX;Zwolle;52.52369489552;6.082384583761951
11;7414GA;Deventer;52.275149208403505;6.1516373444032695
10;8261BJ;Kampen;52.561457442959096;5.912943895829389
51;7422MK;Deventer;52.247931164628;6.210861974402451
20;7419BJ;Deventer;52.2468334655569;6.14343745658645
64;8043XE;Zwolle;52.524320263746205;6.06169876197765
68;8262GG;Kampen;52.5581699658873;5.90344176166643
25;8016LM;Zwolle;52.4765001109994;6.10233009672554
16;7412JE;Deventer;52.259436378463704;6.1408615147959695
25;8032GZ;Zwolle;52.5332642015364;6.09604019468693
22;7411CH;Deventer;52.2509361412852;6.165117609025179
102;7412CK;Deventer;52.2595564757453;6.14300567437791
41;8262BD;Kampen;52.56442702051121;5.90044415711948
42;7411NS;Deventer;52.254813291223094;6.15168566490793
16;7425AW;Deventer;52.25573733115151;6.221664168024531
40;7415DJ;Deventer;52.2702949411912;6.15569655124171
28;8023WG;Zwolle;52.5104596941077;6.11210664757969
1;7425NN;Deventer;52.25661905243749;6.2329146289833295
6;8265HA;Kampen;52.5510063474175;5.89845373652462
2;7421GD;Deventer;52.2449424764448;6.22415632812743
16;7424DK;Deventer;52.2612224462852;6.21108863155316
6;8033BJ;Zwolle;52.5328611933747;6.1135618634341204
55;7414VP;Deventer;52.278024165291605;6.14038559431777
4;7424BC;Deventer;52.261183807200794;6.2166102318976995
48;8015ED;Zwolle;52.4828317157128;6.129272323933799
18;8262RZ;Kampen;52.56247040790011;5.90568697147055
20;8265WR;Kampen;52.545930368845994;5.91498381033111
4;8032AK;Zwolle;52.5251355459343;6.099899411611919
153;8012WE;Zwolle;52.505361461753;6.103284807563321
98;8265RC;Kampen;52.5401750506125;5.90875920691787
16;7412JN;Deventer;52.2602401945844;6.13868159398421
1;8265ED;Kampen;52.554001861974605;5.903015343844861
32;8011MD;Zwolle;52.5131899092026;6.09119397255489
58;7412PT;Deventer;52.2671905411131;6.139692689189769
39;7416ZS;Deventer;52.258333356439294;6.182810180679799
78;7414EG;Deventer;52.272584992423404;6.15284852849725
65;7414BB;Deventer;52.275789623559;6.14385461043548
19;8014LN;Zwolle;52.483676918217796;6.11932859124753
46;8032XX;Zwolle;52.53643084176171;6.10272089694818
40;7412GN;Deventer;52.263702860667;6.1389580175421905
36;8261HS;Kampen;52.5566002240259;5.919924630708151
12;7412DP;Deventer;52.263911976409794;6.14639033166368
4;8017BT;Zwolle;52.49062132269321;6.07861466656685
89;7413EC;Deventer;52.2639435886296;6.1576175865805
60;8264BB;Kampen;52.555773599656;5.89608208952795
16;7423GZ;Deventer;52.2528561380132;6.2056760266010205
15;8261BL;Kampen;52.5597239860316;5.91411357757952
4;8266JJ;Kampen;52.5385941073851;5.9331550910033
37;8266LZ;Kampen;52.5349620032145;5.92626389011904
22;7415BC;Deventer;52.2658724484445;6.157861002616019
23;7421DS;Deventer;52.24051773834601;6.21101047758711
7;8265ZP;Kampen;52.547914512015;5.90858062270086
10;7415ND;Deventer;52.2751870545509;6.1712550066449205
59;8019AE;Zwolle;52.5048265601994;6.07324740467144
116;7414HV;Deventer;52.277633470316;6.14835137255535
2;8012TS;Zwolle;52.5051626599261;6.09819945030284
86;7414BE;Deventer;52.2765013338729;6.14824644497047
7;7412TD;Deventer;52.262883435241;6.13856512226612
366;8265AP;Kampen;52.54896124816529;5.91338131336316
2;8266AP;Kampen;52.5468162735528;5.92480385166996
153;7421EN;Deventer;52.2436560048567;6.22448839423523
1;7421LE;Deventer;52.2413068045794;6.22684266934042
139;7412PM;Deventer;52.2675712478208;6.138192843443849
10;8266DC;Kampen;52.5495346652357;5.92277232239065
18;8032CL;Zwolle;52.527161107217395;6.111022923527269
214;8031XM;Zwolle;52.5256375127685;6.09062958651992
20;7411KW;Deventer;52.2514255481384;6.153911753779959
134;8043XA;Zwolle;52.5250317876481;6.062381611004679
14;8024DL;Zwolle;52.52552381218229;6.1393653485931905
